R.1,R.2,R.3,score,rebuild
0.41,0.56,0.03,-0.31617999999999996,FALSE
0.4,0.57,0.03,-0.31284,FALSE
0.39,0.58,0.03,-0.3095,FALSE
0.38,0.59,0.03,-0.30616,FALSE
0.37,0.6,0.03,-0.30282000000000003,FALSE
0.36,0.61,0.03,-0.29948,FALSE
0.35,0.62,0.03,-0.29614,FALSE
0.34,0.63,0.03,-0.2928,FALSE
0.33,0.64,0.03,-0.28946,FALSE
0.32,0.65,0.03,-0.28612,FALSE
0.31,0.66,0.03,-0.28278,FALSE
0.3,0.67,0.03,-0.27943999999999997,FALSE
0.29,0.68,0.03,-0.2761,FALSE
0.28,0.69,0.03,-0.27276,FALSE
0.27,0.7,0.03,-0.26942,FALSE
0.26,0.71,0.03,-0.26608000000000004,FALSE
0.25,0.72,0.03,-0.26274000000000003,FALSE
0.24,0.73,0.03,-0.2594,FALSE
0.23,0.74,0.03,-0.25606,FALSE
0.22,0.75,0.03,-0.25272,FALSE
0.21,0.76,0.03,-0.24938,FALSE
0.2,0.77,0.03,-0.24603999999999998,FALSE
0.19,0.78,0.03,-0.24269999999999997,FALSE
0.18,0.79,0.03,-0.23935999999999996,FALSE
0.17,0.8,0.03,-0.23601999999999995,FALSE
0.16,0.81,0.03,-0.23267999999999994,FALSE
0.15,0.82,0.03,-0.22934,FALSE
0.14,0.83,0.03,-0.22599999999999998,FALSE
0.13,0.84,0.03,-0.22265999999999997,FALSE
0.12,0.85,0.03,-0.21932000000000001,FALSE
0.11,0.86,0.03,-0.21598,FALSE
0.1,0.87,0.03,-0.21264,FALSE
0.09,0.88,0.03,-0.20929999999999999,FALSE
0.08,0.89,0.03,-0.20595999999999998,FALSE
0.07,0.9,0.03,-0.20261999999999997,FALSE
0.06,0.91,0.03,-0.19927999999999996,FALSE
0.05,0.92,0.03,-0.19593999999999995,FALSE
0.04,0.93,0.03,-0.1926,FALSE
0.03,0.94,0.03,-0.18925999999999998,FALSE
0.02,0.95,0.03,-0.18591999999999997,FALSE
0.01,0.96,0.03,-0.18258000000000002,FALSE
0,0.97,0.03,-0.17924,FALSE
0.96,0,0.04,-0.49896,FALSE
0.95,0.01,0.04,-0.49562,FALSE
0.94,0.02,0.04,-0.49228,FALSE
0.93,0.03,0.04,-0.48894000000000004,FALSE
0.92,0.04,0.04,-0.48560000000000003,FALSE
0.91,0.05,0.04,-0.48226,FALSE
0.9,0.06,0.04,-0.47892,FALSE
0.89,0.07,0.04,-0.47558,FALSE
0.88,0.08,0.04,-0.47224,FALSE
0.87,0.09,0.04,-0.4689,FALSE
0.86,0.1,0.04,-0.46556000000000003,FALSE
0.85,0.11,0.04,-0.46222,FALSE
0.84,0.12,0.04,-0.45888,FALSE
0.83,0.13,0.04,-0.45554,FALSE
0.82,0.14,0.04,-0.4522,FALSE
0.81,0.15,0.04,-0.44886000000000004,FALSE
0.8,0.16,0.04,-0.44552,FALSE
0.79,0.17,0.04,-0.44218,FALSE
0.78,0.18,0.04,-0.43884,FALSE
0.77,0.19,0.04,-0.4355,FALSE
0.76,0.2,0.04,-0.43216,FALSE
0.75,0.21,0.04,-0.42882,FALSE
0.74,0.22,0.04,-0.42548,FALSE
0.73,0.23,0.04,-0.42214,FALSE
0.72,0.24,0.04,-0.4188,FALSE
0.71,0.25,0.04,-0.41546,FALSE
0.7,0.26,0.04,-0.41212,FALSE
0.69,0.27,0.04,-0.40878000000000003,FALSE
0.68,0.28,0.04,-0.40544,FALSE
0.67,0.29,0.04,-0.4021,FALSE
0.66,0.3,0.04,-0.39876,FALSE
0.65,0.31,0.04,-0.39542,FALSE
0.64,0.32,0.04,-0.39208,FALSE
0.63,0.33,0.04,-0.38874,FALSE
0.62,0.34,0.04,-0.3854,FALSE
0.61,0.35,0.04,-0.38206,FALSE
0.6,0.36,0.04,-0.37872,FALSE
0.59,0.37,0.04,-0.37538,FALSE
0.58,0.38,0.04,-0.37204000000000004,FALSE
0.57,0.39,0.04,-0.36870000000000003,FALSE
0.56,0.4,0.04,-0.36536,FALSE
0.55,0.41,0.04,-0.36202,FALSE
0.54,0.42,0.04,-0.35868,FALSE
0.53,0.43,0.04,-0.35534,FALSE
0.52,0.44,0.04,-0.352,FALSE
0.51,0.45,0.04,-0.34865999999999997,FALSE
0.5,0.46,0.04,-0.34531999999999996,FALSE
0.49,0.47,0.04,-0.34198,FALSE
0.48,0.48,0.04,-0.33864000000000005,FALSE
0.47,0.49,0.04,-0.33530000000000004,FALSE
0.46,0.5,0.04,-0.33196000000000003,FALSE
0.45,0.51,0.04,-0.32862,FALSE
0.44,0.52,0.04,-0.32528,FALSE
